url,path,http_status,final_url,redirected,title,h1,h1_count,description,canonical,robots_meta,indexable,incoming_links,outgoing_links,error,bytes
https://morimachi.enshu-lifehack.com/,/,200,https://morimachi.enshu-lifehack.com/,False,静岡県森町ライフハック｜手続き・介護・空き家を困りごとから探す,静岡県森町の手続き・相談先を、困りごとから探せます,1,静岡県周智郡森町の住民票、税金、ごみ、子育て、介護、空き家、おくやみ、防災などを、暮らしの場面から探せる非公式生活ナビ。手続きの順番と森町公式の確認先を案内します。,https://morimachi.enshu-lifehack.com/,,True,627,42,,25061
https://morimachi.enshu-lifehack.com/about/author/,/about/author/,200,https://morimachi.enshu-lifehack.com/about/author/,False,執筆者について｜大石浩之（宅地建物取引士） | 静岡県森町ライフハック,執筆者について,1,森町ライフハックの記事を書いている大石浩之（宅地建物取引士）のプロフィールです。富士ヶ丘サービス株式会社（静岡県磐田市見付）の宅建業免許・資格・対応範囲を明記しています。,https://morimachi.enshu-lifehack.com/about/author/,,True,627,7,,11672
https://morimachi.enshu-lifehack.com/about/related-sites/,/about/related-sites/,200,https://morimachi.enshu-lifehack.com/about/related-sites/,False,関連サイト一覧 | 静岡県森町ライフハック,関連サイト一覧,1,静岡県周智郡森町の森町ライフハックと、同じ運営者による関連サイトの一覧です。森町の相談窓口、遠州ライフハックの各市町版、個人制作のサイトに分けて掲載しています。,https://morimachi.enshu-lifehack.com/about/related-sites/,,True,618,6,,10910
https://morimachi.enshu-lifehack.com/blog/,/blog/,200,https://morimachi.enshu-lifehack.com/blog/,False,ブログ | 静岡県森町ライフハック,📝 ブログ,1,静岡県周智郡森町（遠州森町）の暮らし・手続き・空き家・寺社について、公表情報を確認しながら書いています。,https://morimachi.enshu-lifehack.com/blog/,,True,60,54,,37791
https://morimachi.enshu-lifehack.com/blog/20260703-six-districts/,/blog/20260703-six-districts/,200,https://morimachi.enshu-lifehack.com/blog/20260703-six-districts/,False,静岡県森町を「六つの地区」から見ると、暮らしの輪郭が分かる | 森町ライフハック,森町を「六つの地区」から見ると、暮らしの輪郭が分かる,1,静岡県周智郡森町は三倉、天方、森、一宮、園田、飯田の六つの地区に分かれます。町名だけでは見えにくい、移動・近所づきあい・暮らしの違いをどう確かめるか考えます。,https://morimachi.enshu-lifehack.com/blog/20260703-six-districts/,,True,3,9,,30655
https://morimachi.enshu-lifehack.com/blog/20260704-festival-and-life/,/blog/20260704-festival-and-life/,200,https://morimachi.enshu-lifehack.com/blog/20260704-festival-and-life/,False,森の祭りは、観光情報だけでなく「地域の暮らし」として読みたい | 静岡県森町ライフハック,森の祭りは、観光情報だけでなく「地域の暮らし」として読みたい,1,静岡県周智郡森町には屋台の曳き廻しや三社に伝わる舞楽があります。見る側の楽しさと、地域が受け継ぐ時間の両方から祭りを考えます。,https://morimachi.enshu-lifehack.com/blog/20260704-festival-and-life/,,True,2,9,,30875
https://morimachi.enshu-lifehack.com/blog/20260705-test-daily-travel/,/blog/20260705-test-daily-travel/,200,https://morimachi.enshu-lifehack.com/blog/20260705-test-daily-travel/,False,静岡県森町への移住前、家より先に「一日の移動」を試してみる | 森町ライフハック,森町への移住前、家より先に「一日の移動」を試してみる,1,静岡県周智郡森町への移住を考えるときは、景色や物件だけでなく通勤、買い物、通院、送迎の動線確認が欠かせません。下見で試したい順番を整理します。,https://morimachi.enshu-lifehack.com/blog/20260705-test-daily-travel/,,True,3,9,,30212
https://morimachi.enshu-lifehack.com/blog/20260706-moving-in-order/,/blog/20260706-moving-in-order/,200,https://morimachi.enshu-lifehack.com/blog/20260706-moving-in-order/,False,静岡県森町への転入届は、オンライン予約だけで終わらない | 森町ライフハック,森町への転入届は、オンライン予約だけで終わらない,1,静岡県周智郡森町への転入届は住み始めてから14日以内です。マイナポータルを利用しても窓口手続きが必要になる点と、当日の順番を整理します。,https://morimachi.enshu-lifehack.com/blog/20260706-moving-in-order/,,True,2,9,,30617
https://morimachi.enshu-lifehack.com/blog/20260707-vacant-house-bank-owner/,/blog/20260707-vacant-house-bank-owner/,200,https://morimachi.enshu-lifehack.com/blog/20260707-vacant-house-bank-owner/,False,静岡県森町の空き家バンクは、登録すれば町が売ってくれる制度ではない | 森町ライフハック,森町の空き家バンクは、登録すれば町が売ってくれる制度ではない,1,静岡県周智郡森町の空き家・空き地バンクは物件情報を届ける仕組みです。所有者が登録前に確かめたい登記、家財、管理状態、契約の役割分担を整理します。,https://morimachi.enshu-lifehack.com/blog/20260707-vacant-house-bank-owner/,,True,2,9,,30831
https://morimachi.enshu-lifehack.com/blog/20260708-shrine-architecture/,/blog/20260708-shrine-architecture/,200,https://morimachi.enshu-lifehack.com/blog/20260708-shrine-architecture/,False,静岡県森町の神社は、名前だけでなく建物の年代から見ても面白い | 森町ライフハック,森町の神社は、名前だけでなく建物の年代から見ても面白い,1,静岡県周智郡森町には小國神社、天宮神社、山名神社だけでなく各地区に多くの神社があります。公式の町史資料から、社殿を傷めずに歴史を読む入口を紹介します。,https://morimachi.enshu-lifehack.com/blog/20260708-shrine-architecture/,,True,2,9,,30610
